,released,NEED RE,order #,PO #,quantity,thick,width,length,grade,mill,frt,Total,,,,
,,,,,11,2,4,111-1/4,2,440,50,490,,,,
SHELTER LOUDON,,,61202,1314128,3,2,6,111-1/4,2,435,50,485,,,,
,,,,,13,2,6,131-1/4,2,420,50,470,,,,
SHELTER LOUDON,,,61203,1314129,12,2,6,112,2,435,50,485,,,,
,,,,,6,2,4,112,2,440,50,490,,,,
SHELTER LOUDON,30-Aug,,61204,1314130,18,2,6,112,2,435,50,485,,,,
SHELTER LOUDON,5-Sep,,61227,1314137,11,2,4,112,2,470,50,520,,,,
,,,,,6,2,6,112,2,460,50,510,,,,
SMT,2-Oct,,61302,28627,3,2,4,8,4,305,,,,,,
,,,,,6,2,4,10,4,305,,,,,,
,,,,,7,2,4,12,4,305,,,,,,
Cherokee,28-Aug,,61236,56-37,20,2,4,104,2,520,,,,,,
BLUE DAWN,,,61237,ASC 63353 Z,2,2,4,104,2,510,25,535,,,,
,,,,,5,2,4,116,2,430,25,455,,,,
,,,,,4,2,6,104,2,510,25,535,,,,
,,,,,8,2,6,116,2,430,25,455,,,,
BFS Panama,,,61238,26516265,21,2,6,104,1,530,16,546,,,,
CHEROKEE,28-Aug,,61239,171-210,10,2,4,116,2,455,775,,,,,
Santee,,,61240,3091,20,2,4,104,2,525,50,575,,,,
Santee,,,61241,3092,20,2,4,104,2,525,50,575,,,,
Santee,,,61242,3093,20,2,4,104,2,525,50,575,,,,
Santee,,,61243,3094,20,2,4,104,2,525,50,575,,,,
Santee,,,61244,3095,20,2,4,104,2,525,50,575,,,,
Santee,,61245,5948,3096,20,2,4,104,2,518,57,575,,,,
Santee,,61246,5949,3097,20,2,4,104,2,518,57,575,,,,
Santee,,61247,61247,3098,20,2,4,104,2,518,57,575,,,,
Santee,,61248,6029,3099,20,2,4,104,2,518,57,575,,,,
Santee,,,61249,3100,20,2,4,104,2,525,50,575,,,,
Santee,,61250,6116,3101,20,2,4,104,2,520,55,575,,,,
Santee,,61251,6117,3102,20,2,4,104,2,520,55,575,,,,
Santee,,61252,6118,3103,20,2,4,104,2,520,55,575,,,,
Santee,,61253,5945,3104,21,2,6,104,2,518,57,575,,,,
Santee,,61433,5946,3105,21,2,6,104,2,525,50,575,,,,
Santee,,,61434,3106,21,2,6,104,2,525,50,575,,,,
Santee,12-Nov,,61435,3107,21,2,6,104,2,525,50,575,,,,
Santee,12-Nov,,61436,3108,21,2,6,104,2,525,50,575,,,,
Santee,12-Nov,,61437,3109,21,2,6,104,2,525,50,575,,,,
Santee,12-Nov,,61438,3110,21,2,6,104,2,525,50,575,,,,
Santee,,61439,6585,3111,21,2,6,104,2,520,55,575,,,,
Santee,,61440,6586,3112,21,2,6,104,2,520,55,575,,,,
Santee,,61441,6587,3113,21,2,6,104,2,525,50,575,,,,
Santee,,,61442,3114,21,2,6,104,2,525,50,575,,,,
Santee,22-Jan,,61443,3115,21,2,6,104,2,525,50,575,,,,
Santee,22-Jan,,61444,3116,21,2,6,104,2,525,50,575,,,,
Santee,13-Nov,61327,6426,3245,21,2,4,104,2,520,55,575,,,,
Santee,3-Dec,61328,6558,3248,21,2,4,104,2,520,55,575,,,,
Santee,3-Dec,61329,6557,3250,21,2,4,104,2,520,55,575,,,,
Santee,,61330,6634,3251,21,2,4,104,2,520,55,575,,,,
Santee,,61331,6823,3253,21,2,4,104,2,520,55,575,,,,
Santee,,61332,6824,3254,21,2,6,104,2,520,55,575,,,,
Santee,,61333,6825,3255,21,2,6,104,2,520,55,575,,,,
Santee,,61334,6826,3256,21,2,6,104,2,520,55,575,,,,
Santee,,61335,6827,3257,21,2,6,104,2,520,55,575,,,,
BRIDGE  ALPHAR,,,61349,834562,20,2,4,103-1/2,2,540,45,585,,,,
SMT,,,,23956,20,2,4,9,4,275,,,,,,
richmond,,,61264,23258,22,2,4,8,2,395,,,,,,
BOISE,,,61263,MT56167,4,2,4,92.5,2,445,,,,,,
,,,,,4,2,6,104,2,500,,,,,,
,,,,,10,2,4,104,2,525,,,,,,
richmond,29-Aug,,61161,76609,22,2,4,8,2,420,,,,,,
bifp,,,61166,85615,17,2,4,10,2p,430,,,,,,
MILLING,,,61182,124270,20,2,4,9,4,275,,,,,,
MILLING,,,61183,124271,20,2,6,9,4,275,,,,,,
MILLING,,,61184,124272,17,2,4,10,4,,,,,,,
MILLING,,,61185,124273,18,2,6,10,3,,,,,,,
chero,,,5813,164-179,14,2,4,12,2,430,30,,,,,
SHELTER MADISON 8-27,wrapped,61212,5823,1351638,18,2,4,92.5,2,452,18,470,,,,
,GTG 8-30,,,,2,2,4,123-1/2,2,442,18,460,,,,
SHELTER MADISON 8-27,wrapped,30-Aug,61213,1351639,22,2,4,92.5,2,440,50,490,,,,
SHELTER MADISON 9-3,wrapped,61214,5824,1351640,22,2,4,92.5,2,440,20,460,,,,
SHELTER MADISON 9-10,wrapped,61215,5825,1351641,22,2,4,92.5,2,440,20,460,,,,
SHELTER MADISON 9-24,wrapped,,61216,1351642,14,2,4,92.5,2,440,50,490,,,,
,,,,,6,2,6,92.5,2,285,50,335,,,,
SHELTER MADISON 9-24,wrapped,,61217,1351643,22,2,4,92.5,2,460,28,488,,,,
SHELTER MADISON 8-27,wrapped,,61218,1351644,17,2,6,92.5,2,360,50,410,,,,
,,,,,4,2,6,123-1/2,2,360,50,410,,,,
SHELTER MADISON 9-3,wrapped,,61219,1351645,23,2,6,92.5,2,360,50,410,,,,
SHELTER MADISON 9-17,wrapped,21-Nov,61220,1351646,23,2,6,92.5,2,360,50,410,,,,
smt,,,61686,29558,,2,4,,rr,280,,,,,,
SMT,,,61520,29604,20,2,4,9,4,275,,,,,,
SMT,4-Sep,,61292,28802,,2,4,,RR,305,,,,,,
SMT,,,61497,28803,,2,6,,RR,270,,,,,,
SMT,,,61310,28872,,2,4,9,285,,,,,,,
SMT,,,61311,28873,,2,6,9,275,,,,,,,
MILLING,,,61272,124434,21,2,6,9,4,275,,,,,,
MILLING,,,61273,124435,21,2,6,9,4,275,,,,,,
MILLING,,,61274,124436,8,2,4,4,RD,,,,,,,
,,,,,2,2,6,4,RD,,,,,,,
,,,,,15,2,4,6,4,,,,,,,
Double l,,,61275,13007,22,2,4,8,3,380,,,,,,
BFS,,,61401,26516410,21,2,6,104,1,530,16,546,,,,
BOISE,,,61271,MT581921,5,2,4,10,2,410,,,,,,
,,,,,12,2,4,12,2,430,,,,,,
viking ,,,61281,46613,8,2,4,92.5,2,440,,,,,,
MATHEUS,stg,30-Aug,5826,30079-26,20,2,4,105,2,525,40,,,,,
MATHEUS,stg,30-Aug,5827,30079-27,20,2,4,105,2,525,40,,,,,
MATHEUS,stg,30-Aug,5828,30079-28,20,2,4,105,2,525,40,,,,,
MATHEUS,stg,30-Aug,5829,30079-29,20,2,4,105,2,525,40,,,,,
MATHEUS,stg,30-Aug,5830,30079-30,20,2,4,106,2,525,40,,,,,
BFS PLANT CITY,31-Aug,,61223,26556288,22,2,4,107,3,380,45,425,,,,
Cherokee,4-Sep,,61303,509-86,14,2,4,108,2,440,46,,,,,
MILLING,,,61262,124279,20,2,4,109,4,,,,,,,
UFPI MARK,31-Aug,,61233,22097036,21,2,6,110,2,500,,,,,,
UFPI MARK,31-Aug,,61234,22097039,21,2,6,111,2,500,,,,,,
UFPI MARK,27-Sep,,61235,22097040,21,2,6,104,2,500,,,,,,
BRIDGE TALLY,comlete,,61288,833238,9,2,4,113,2,500,16,516,,,,
,,,,,8,2,6,114,2,430,16,446,,,,
shelter,,,61289,1347009,20,2,4,115,2,535,42,577,,,,
shelter,,,61290,1347010,21,2,6,116,2,500,42,542,,,,
shelter,/28/,,61291,1347011,14,2,4,12,2,440,42,482,,,,
GC BROOKSVILLE,BROOKSVILLE/28/,,61304,4044639,14,2,4,12,2,440,42,482,,,,
GC BROOKSVILLE,BROOKSVILLE/28/,,61305,4044640,14,2,4,12,2,440,42,482,,,,
GC BROOKSVILLE,BROOKSVILLE/28/,,61306,4044641,14,2,4,12,2,440,42,482,,,,
SHERWOOD,D/28/,,61447,W33301,14,2,4,12,2,440,,,,,,
BFS LAKE CITY,18-Sep,,61445,26574775,2,2,4,125,3,390,22,412,,,,
,,,,,8,2,4,126,3,390,22,412,,,,
,,,,,6,2,4,127,3,390,22,412,,,,
RICHMOND,,,61496,81920,9,2,4,128,2,465,,,,,,
,,,,,6,2,6,129,2,445,,,,,,
BFS MILTON,12-Sep,,61446,26568258,14,2,4,130,2,430,25,455,,,,
MILLIN,,,61261,124278,8,2,6,131,4,,,,,,,
,,,,,9,2,6,132,3,,,,,,,
,,,,,2,2,6,133,2,,,,,,,
BIB BEND,,,61294,KEITH,2,2,4,134,2P,455,,,,,,
,,,,,2,2,4,135,2P,455,,,,,,
,,,,,1,2,4,136,3,290,,,,,,
MILLING,,,61296,124254,10,2,6,137,4,,,,,,,
,,,,,1,2,6,138,3,,,,,,,
,,,,,4,2,4,139,4,,,,,,,
,,,,,2,2,4,140,K,370,,,,,,
,,,,,2,2,4,141,4,,,,,,,
MILLING,,,61297,124437,3,2,4,142,KW,395,,,,,,
,,,,,4,2,4,143,KW,395,,,,,,
,,,,,8,2,4,144,4,,,,,,,
MILLING,,,61298,124438,11,2,6,145,3,280,,,,,,
,,,,,5,2,6,146,4,,,,,,,
,,,,,5,2,6,147,4,,,,,,,
BFS PLANT FL TRUSS,6-Sep,,61307,26516509,6,2,4,148,3,391,44,435,,,,
,,,,,6,2,4,149,3,391,44,435,,,,
,,,,,4,2,4,150,3,391,44,435,,,,
BFS PLANT FL TRUSS,,,61308,26516510,6,2,4,151,3,391,44,435,,,,
,,,,,6,2,4,152,3,391,44,435,,,,
,,,,,4,2,4,153,3,391,44,435,,,,
UFPI MARK,,,61309,22101418,11,2,4,154,2,410,,,,,,
,,,,,8,2,4,155,3,395,,,,,,
Timberline Maronda,10-Sep,,61448,7849,22,2,4,156,2,440,44,484,,,,
SHELTER,/28/,,61317,1349059,18,2,6,157,2,448,44,492,,,,
WOODLANDS,,,5859,49322,22,3,4,104,2,480,90,570,,,,
WOODLANDS,,,5860,49323,22,3,4,104,2,480,90,570,,,,
WOODLANDS,,,5861,49324,22,3,4,104,2,480,90,570,,,,
WOODLANDS,,,5862,49325,22,3,4,104,2,480,90,570,,,,
WOODLANDS,,,5863,49326,22,3,4,104,2,480,90,570,,,,
WOODLANDS,,,5864,49327,22,3,4,104,2,480,90,570,,,,
WOODLANDS,,,5865,49328,22,3,4,104,2,480,90,570,,,,
WOODLANDS,,,5866,49329,22,3,4,104,2,480,90,570,,,,
GC TALLY,,,61284,4043540,14,2,4,12,2,444,16,460,,,,
GC TALLY,TALLY/28/,,61285,4043541,10,2,4,12,2,444,16,460,,,,
,,,62488,4043551,6,2,6,104,2,445,16,461,,,,
GC TALLY,TALLY/28/,,61286,4043542,14,2,4,12,2,444,16,460,,,,
GC TALLY,TALLY/28/,,61287,4043543,15,2,6,12,2,379,16,395,,,,
WOODLANDS,,,61293,49225,20,2,4,170,1,538,,,,,,
SMT,,,61336,29105,23,2,6,171,2,295,,,,,,
SMT,,,61337,29106,23,2,6,172,2,295,,,,,,
SMT,,,61338,29107,23,2,6,173,2,295,,,,,,
SMT,17-Sep,,61339,29108,23,2,6,174,2,290,,,,,,
SMT,,,61340,29109,23,2,6,175,2,290,,,,,,
GREEN DAYTONA,,,61299,40432,20,2,6,176,2,495,42,537,,,,
GREEN DAYTONA,,,61300,40433,20,2,6,177,2,495,42,537,,,,
GREEN ORLANDO ,,,61301,40434,20,2,6,178,2,495,42,537,,,,
WOODLANDS,boise,,61312,49315,20,2,4,179,2,535,42,,,,,
WOODLANDS,,,61315,49316,20,2,4,180,2,535,,,,,,
WOODLANDS,,,61317,49317,20,2,4,181,2,535,,,,,,
WOODLANDS,DS/28/,,61315,49318,20,2,4,104,2,535,,,,,,
WOODLANDS,,,61316,49319,20,2,4,183,2,535,,,,,,
TAMPA,24-Sep,,61374,63230,27,2,6,184,2,290,,,,,,
TAMPA,,,61319,63105,25,2,4,185,2,410,,,,,,
VNS MABLETON,11-Sep,,61320,3219610,20,2,4,186,2,536,42,578,,,,
VNS MABLETON,10-Sep,,61321,3219578,21,2,6,187,2,485,42,527,,,,
VNS MABLETON,20-Sep,,61322,3219596,21,2,6,188,2,485,42,527,,,,
STRING ,13-Sep,,61323,2096139,22,2,4,189,4,300,,,,,,
SHELTER 9-11,13-Sep,DON’T WANT,61350,1349071,18,2,6,190,2,440,45,,,,,
BOISE,,,61271,mt58192,5,2,4,191,2,410,,,,,,
,,,,,10,2,4,192,2,430,,,,,,
TAMPA,6-Sep,,61265,62803,30,2,6,193,2,290,,,,,,
RICHMOND AMER BUILDERS,,,61377,93011,6,2,4,194,3,400,44,444,,,,
,,,,,6,2,4,195,3,400,44,444,,,,
,,,,,6,2,4,196,3,400,44,444,,,,
MILLING,12-Sep,,61351,124439,22,2,4,197,4,,,,,,,
MILLING,,,61352,124440,20,2,4,198,4,,,,,,,
MILLING,,,61353,124441,6,2,4,199,4,,,,,,,
,,,,,3,2,4,200,KW,370,,,,,,
,,,,,8,2,4,201,KW,395,,,,,,
MILLING ,,,61354,124442,7,2,4,202,4,,44,,,,,
,,,,,7,2,4,203,KW,395,,,,,,
MILLING ,,,61355,124443,6,2,6,204,4,,44,,,,,
,,,,,4,2,6,205,3,,,,,,,
,,,,,7,2,6,206,4,,,,,,,
GREEN,,,61378,40485,21,2,6,207,2,480,,,,,,
GREEN,,,61379,40486,21,2,6,208,2,480,,,,,,
GREEN,,,61380,40487,21,2,6,209,2,480,,,,,,
GREEN,,,61381,40488,21,2,6,210,2,480,,,,,,
GREEN,,,61382,40489,21,2,6,211,2,480,,,,,,
GREEN,17-Oct,,61383,40490,21,2,6,212,2,480,,,,,,
BFS panama,,,61375,26592468,21,2,6,213,1,525,16,,,,,
ABS PORT ALLEN asap,18-Sep,,61430,77-0259,21,2,6,214,2,485,55,540,,,,
ABS PORT ALLEN asap,bought from viking,,61431,77-0260,21,2,6,215,2,485,55,540,,,,
ABS PORT ALLEN asap,913,,61432,77-0261,12,2,6,216,2,485,55,540,,,,
,,,,,8,2,4,217,2,530,55,585,,,,
WOODLANDS,11-Sep,,61356,49332,21,2,6,218,2,483,42,525,,,,
WOODLANDS,,,61357,49333,21,2,6,219,2,483,42,525,,,,
WOODLANDS,20-Sep,,61358,49334,21,2,6,220,2,483,42,525,,,,
WOODLANDS,,,61359,49335,21,2,6,221,2,483,42,525,,,,
WOODLANDS,,,61360,49336,21,2,6,222,2,483,42,525,,,,
WOODLANDS,,,61361,49337,21,2,6,223,2,483,42,525,,,,
WOODLANDS,,,61362,49338,21,2,6,104,2,483,42,525,,,,
WOODLANDS,,,61363,49339,21,2,6,104,2,483,42,525,,,,
WOODLANDS,,,61364,49340,21,2,6,104,2,483,42,525,,,,
WOODLANDS,,,61365,49341,21,2,6,104,2,483,42,525,,,,
WOODLANDS,,,61366,49342,21,2,6,104,2,483,42,525,,,,
WOODLANDS,,,61367,49343,21,2,6,104,2,483,42,525,,,,
WOODLANDS,,,61368,49344,21,2,6,104,2,483,42,525,,,,
WOODLANDS,,,61369,49345,21,2,6,104,2,483,42,525,,,,
WOODLANDS,,,61370,49346,21,2,6,104,2,483,42,525,,,,
WOODLANDS,,,61371,49347,21,2,6,104,2,483,42,525,,,,
WOODLANDS,DS/28/,,61372,49348,21,2,6,104,2,483,42,525,,,,
WOODLANDS,DS/28/,,61373,49349,21,2,6,104,2,483,42,525,,,,
CHEROKEE BRADENTON,,,61384,510-1,20,2,4,236,2,525,45,570,,,,
CHEROKEE BRADENTON,,,61385,510-2,20,2,4,104,2,525,45,570,,,,
CHEROKEE BRADENTON green,,,61386,510-3,20,2,4,104,2,525,45,570,,,,
CHEROKEE BRADENTON,,,61387,510-4,20,2,4,104,2,525,45,570,,,,
CHEROKEE BRADENTON,,,61388,510-5,20,2,4,104,2,525,45,570,,,,
CHEROKEE the green BRADENTON,12-Nov,,61389,510-6,20,2,4,104,2,525,45,570,,,,
CHEROKEE BRADENTON,BRADENTON/28/,16-Nov,61390,510-7,20,2,4,104,2,525,45,570,,,,
CHEROKEE BRADENTON,7-Dec,,61391,510-8,20,2,4,104,2,525,45,570,,,,
CHEROKEE BRADENTON,,,61392,510-9,20,2,4,104,2,525,45,570,,,,
CHEROKEE BRADENTON,,,61393,510-10,20,2,4,104,2,525,45,570,,,,
CHEROKEE BRADENTON,,,61394,510-11,20,2,4,104,2,525,45,570,,,,
CHEROKEE BRADENTON,,,61395,510-12,20,2,4,104,2,525,45,570,,,,
CHEROKEE BRADENTON,31-Dec,,61396,510-13,20,2,4,104,2,525,45,570,,,,
CHEROKEE BRADENTON,31-Dec,,61397,510-14,10,2,4,104,2,525,45,570,,,,
,,,,,8,2,4,116,2,390,45,,,,,
CHEROKEE BRADENTON,7-Jan,,61398,510-15,20,2,4,104,2,525,45,570,,,,
CHEROKEE BRADENTON,7-Jan,,61399,510-16,20,2,4,104,2,525,45,570,,,,
CHEROKEE BRADENTON,14-Jan,,61400,510-17,20,2,4,104,2,525,45,570,,,,
CHEROKEE BRADENTON,,,61402,510-18,21,2,6,104-5/8,2,475,45,520,,,,
CHEROKEE BRADENTON,,,61403,510-19,21,2,6,104-5/8,2,475,45,520,,,,
CHEROKEE BRADENTON,,,61404,510-20,21,2,6,104-5/8,2,475,45,520,,,,
CHEROKEE BRADENTON,,,61405,510-21,21,2,6,104-5/8,2,475,45,520,,,,
CHEROKEE BRADENTON,,,61406,510-22,21,2,6,104-5/8,2,475,45,520,,,,
CHEROKEE BRADENTON,,,61407,510-23,21,2,6,104-5/8,2,475,45,520,,,,
CHEROKEE BRADENTON,,,61408,510-24,21,2,6,104-5/8,2,475,45,520,,,,
CHEROKEE BRADENTON,,,61409,510-25,21,2,6,104-5/8,2,475,45,520,,,,
CHEROKEE BRADENTON,,,61410,510-26,21,2,6,104-5/8,2,475,45,520,,,,
CHEROKEE BRADENTON,17-Dec,,61411,510-27,21,2,6,104-5/8,2,475,45,520,,,,
CHEROKEE BRADENTON,18-Dec,,61413,510-28,21,2,6,104-5/8,2,475,45,520,,,,
CHEROKEE BRADENTON,18-Dec,,61414,510-29,21,2,6,104-5/8,2,475,45,520,,,,
CHEROKEE BRADENTON,18-Dec,,61415,510-30,21,2,6,104-5/8,2,475,45,520,,,,
CHEROKEE BRADENTON,21-Dec,,61416,510-31,21,2,6,104-5/8,2,475,45,520,,,,
CHEROKEE BRADENTON,21-Dec,,61417,510-32,21,2,6,104-5/8,2,475,45,520,,,,
CHEROKEE BRADENTON,31-Dec,,61418,510-33,21,2,6,104-5/8,2,475,45,520,,,,
CHEROKEE BRADENTON,31-Dec,,61419,510-34,21,2,6,104-5/8,2,475,45,520,,,,
CHEROKEE BRADENTON,7-Jan,,61420,510-35,21,2,6,104-5/8,2,475,45,520,,,,
CHEROKEE BRADENTON,7-Jan,,61421,510-36,21,2,6,104-5/8,2,475,45,520,,,,
CHEROKEE BRADENTON,14-Jul,,61422,510-37,21,2,6,104-5/8,2,475,45,520,,,,
CHEROKEE BRADENTON,,,61423,510-38,21,2,6,104-5/8,2,475,45,520,,,,
CHEROKEE BRADENTON,,,61424,510-39,21,2,6,104-5/8,2,475,45,520,,,,
CHEROKEE BRADENTON,,,61425,510-40,21,2,6,104-5/8,2,475,45,520,,,,
CHEROKEE BRADENTON,,,61426,510-41,21,2,6,104-5/8,2,475,45,520,,,,
CHEROKEE BRADENTON,5-Feb,,61427,510-42,21,2,6,104-5/8,2,475,45,520,,,,
CHEROKEE BRADENTON,5-Feb,,61428,510-43,21,2,6,104-5/8,2,475,45,520,,,,
UFPI MARK,,,61342,22102830,21,2,6,279,2,495,,,,,,
UFPI MARK,,,61343,22102833,21,2,6,102-5/8,2,495,,,,,,
UFPI MARK,3-Oct,,61344,22102835,21,2,6,104-5/8,2,480,,,,,,
UFPI MARK,,,61345,22102839,21,2,6,104-5/8,2,480,,,,,,
UFPI MARK,17-Oct,,61346,22102841,21,2,6,104-5/8,2,480,,,,,,
UFPI MARK,,,61347,22102842,20,2,4,284,2,540,,,,,,
BOISE PAT 9-17 OR SNR,11-Sep,,61348,MT59310,6,2,4,285,2,535,,,,,,
,,,,,6,2,4,286,2,450,,,,,,
,,,,,3,2,6,287,2,485,,,,,,
,,,,,4,2,6,288,2,440,,,,,,
GSWP SEPT FL,11-Sep,,61449,4665180109,8,2,4,289,2P,,,,,,,
,,,,,8,2,4,290,2P,,,,,,,
GSWP SEPT FL,25-Sep,,61458,4665180225,9,2,6,291,2p,,,,,,,
,,,,,8,2,6,292,2p,,,,,,,
GSWP SEPT FL,27-Sep,,61459,4665180226,9,2,6,293,2p,,,,,,,
,,,,,8,2,6,294,2p,,,,,,,
GSWP SEPT FL,3-Oct,,61460,4665180227,9,2,6,10,2p,,,,,,,
,,,,,8,2,6,12,2p,,,,,,,
GSWP SEPT  abbe ,11-Sep,,61457,4665180309,22,2,4,297,2p,,,,,,,
GSWP SEPT  abbe ,11-Sep,,61461,4665180425,5,2,4,298,2p,,,,,,,
,,,,,5,2,4,299,2p,,,,,,,
,,,,,8,2,4,300,2p,,,,,,,
GSWP SEPT  abbe ,19-Sep,,61462,4665180426,5,2,4,301,2p,,,,,,,
,,,,,5,2,4,302,2p,,,,,,,
,,,,,8,2,4,303,2p,,,,,,,
GSWP SEPT  abbe,25-Sep,,61463,4665180427,5,2,4,304,2p,,,,,,,
,,,,,5,2,4,305,2p,,,,,,,
,,,,,8,2,4,306,2p,,,,,,,
GSWP SEPT  abbe,11-Sep,,61464,4665180525,4,2,6,307,2P,,,,,,,
,,,,,6,2,6,308,2P,,,,,,,
,,,,,8,2,6,309,2P,,,,,,,
GSWP SEPT  abbe,17-Sep,,61465,4665180526,4,2,6,310,2P,,,,,,,
,,,,,6,2,6,311,2P,,,,,,,
,,,,,8,2,6,312,2P,,,,,,,
GSWP SEPT  abbe,,,61466,4665180527,4,2,6,313,2P,,,,,,,
,,,,,6,2,6,314,2P,,,,,,,
,,,,,8,2,6,315,2P,,,,,,,
GSWP SEPT  abbe,12-Sep,,61467,4665180617,4,2,4,316,2P,,,,,,,
,,,,,6,2,6,317,2P,,,,,,,
,,,,,5,2,6,318,2P,,,,,,,
,,,,,5,2,6,319,2P,,,,,,,
GSWP SEPT  abbe,25-Sep,,61468,4665180618,4,2,4,320,2P,,,,,,,
,,,,,6,2,6,321,2P,,,,,,,
,,,,,5,2,6,322,2P,,,,,,,
,,,,,5,2,6,323,2P,,,,,,,
MILLING ,,,61450,124444,4,2,4,324,4,,,,,,,
,,,,,4,2,4,325,4,,,,,,,
,,,,,1,2,4,326,KW,370,,,,,,
,,,,,3,2,4,327,KW,395,,,,,,
,,,,,2,2,4,328,4,,,,,,,
,,,,,4,2,4,329,KW,395,,,,,,
MILLING,,,61451,124445,22,2,4,330,4,,,,,,,
MILLING,,,61452,124446,20,2,4,331,4,285,,,,,,
MILLING,,,61453,124447,23,2,6,332,3,275,,,,,,
MILLING,,,61454,124448,3,2,6,333,4,,,,,,,
,,,,,4,2,6,334,3,,,,,,,
,,,,,6,2,6,335,4,,,,,,,
,,,,,1,2,4,336,RD,,,,,,,
,,,,,1,2,6,337,RD,,,,,,,
,,,,,5,2,6,338,4,,,,,,,
eightfour st lucie,12-Sep,,61456,13620,12,2,6,339,2,470,100,570,,,,
gswp sept non vmi,,,61471,1299180209,15,2,6,340,2p,,,,,,,
Mac Lith,,,61472,15835,15,2,6,341,2,484,58,542,,,,
Mac Lith,,,61473,15835,20,2,4,342,2,535,42,577,,,,
SMT,12-Sep,,61474,29356,20,2,4,343,4,275,,,,,,
SMT,12-Sep,,61475,29357,,2,4,,rr,280,,,,,,
bfs free,,,61477,26592565,3,2,4,92.5,2,442,18,460,,,,
,,,,,2,2,6,92.5,2,322,18,340,,,,
,,,,,13,2,6,116,2,442,18,460,,,,
SMT,12-Sep,,61476,29466,25,2,4,7,2,405,,,,,,
MILLING,,,61479,124449,22,2,4,8,3,385,,,,,,
MILLING ,,,61480,124450,2,2,4,8,KW,370,,,,,,
,,,,,6,2,4,10,KW,395,,,,,,
,,,,,8,2,4,12,KW,395,,,,,,
PROGRESSIVE ,,,61481,74235A,21,2,6,104-5/8,S,433,42,475,,,,
PROGRESSIVE ,21-Sep,,61482,74235B,21,2,6,104-5/8,S,435,40,475,,,,
PROGRESSIVE ,,,61483,74235C,14,2,6,104-5/8,S,435,40,475,,,,
,,,,,7,2,6,104,2,435,40,475,,,,
PROGRESSIVE ,,61484,6066,74235D,21,2,6,104-5/8,S,436,39,475,,,,
PROGRESSIVE ,,61485,6071,74235E,21,2,6,104-5/8,S,436,39,475,,,,
PROGRESSIVE ,,,61486,74235F,21,2,6,104-5/8,S,435,40,475,,,,
PROGRESSIVE ,,,61487,74235G,21,2,6,104-5/8,S,435,40,475,,,,
PROGRESSIVE ,,,61488,74235H,21,2,6,104-5/8,S,435,40,475,,,,
PROGRESSIVE ,,,61489,74235I,21,2,6,104-5/8,S,435,40,475,,,,
PROGRESSIVE ,,,61490,74235J,21,2,6,104-5/8,S,435,40,475,,,,
PROGRESSIVE ,,,61491,74235K,21,2,6,104-5/8,S,435,40,475,,,,
PROGRESSIVE ,,,61492,74236A,21,2,6,104-5/8,S,435,40,475,,,,
PROGRESSIVE ,,61493,6065,74236B,21,2,6,104-5/8,S,439,36,475,,,,
PROGRESSIVE ,,,61494,74236C,21,2,6,104-5/8,S,435,40,475,,,,
PROGRESSIVE ,,,61495,74236D,21,2,6,104-5/8,S,435,40,475,,,,
PROGRESSIVE ,,,61654,74248-A,20,2,4,104,S,435,40,475,,,,
PROGRESSIVE ,,,61655,74248-B,20,2,4,104,S,435,40,475,,,,
PROGRESSIVE ,,,61656,74248-C,20,2,4,104,S,435,40,475,,,,
PROGRESSIVE ,,,61657,74248-D,20,2,4,104,S,435,40,475,,,,
PROGRESSIVE ,,,61658,74248-E,20,2,4,104,S,435,40,475,,,,
PROGRESSIVE ,,,61659,74248-F,20,2,4,104,S,435,40,475,,,,
PROGRESSIVE ,,,61660,74248-G,20,2,4,104,S,435,40,475,,,,
PROGRESSIVE ,,,61661,74248-H,20,2,4,104,S,435,40,475,,,,
PROGRESSIVE ,8-Jan,,61662,74248-I,20,2,4,104,S,435,40,475,,,,
PROGRESSIVE ,,,61663,74248-J,20,2,4,104,S,435,40,475,,,,
PROGRESSIVE ,,,61664,74248-K,20,2,4,104,S,435,40,475,,,,
PROGRESSIVE ,,,61665,74248-L,20,2,4,104,S,435,40,475,,,,
PROGRESSIVE ,,,61666,74248-M,20,2,4,104,S,435,40,475,,,,
PROGRESSIVE ,,,61667,74248-N,20,2,4,104,S,435,40,475,,,,
PROGRESSIVE ,,,61668,74248-O,20,2,4,104,S,435,40,475,,,,
PROGRESSIVE ,,,61669,74248-P,20,2,4,104,S,435,40,475,,,,
PROGRESSIVE ,,,61670,74248-Q,20,2,4,104,S,435,40,475,,,,
PROGRESSIVE ,,,61671,74248-R,20,2,4,104,S,435,40,475,,,,
PROGRESSIVE ,,,61672,74248-S,20,2,4,104,S,435,40,475,,,,
PROGRESSIVE ,,,61673,74248-T,20,2,4,104,S,435,40,475,,,,
PROGRESSIVE ,,,61674,74248-U,20,2,4,104,S,435,40,475,,,,
PROGRESSIVE ,,,61675,74248-V,20,2,4,104,S,435,40,475,,,,
PROGRESSIVE ,,,61676,74248-W,20,2,4,104,S,435,40,475,,,,
PROGRESSIVE ,,,61677,74248-X,20,2,4,104,S,435,40,475,,,,
RICHMOND,18-Sep,,61519,88271,17,2,4,10,1,460,,,,,,
ric,,,61499,170-185,1,2,6,104,2,485,75,560,,,,
,,,,,10,2,4,10,2,450,75,525,,,,
